Candidate,Date,Endorser,Position,Pts.
Mike Huckabee,9/28,Chuck Fleischmannnew,Rep. (R-Tenn.),1
Mike Huckabee,9/28,Rick Crawfordnew,Rep. (R-Ark.),1
Mike Huckabee,9/28,French Hillnew,Rep. (R-Ark.),1
Mike Huckabee,9/28,Bruce Westermannew,Rep. (R-Ark.),1
Mike Huckabee,8/13,John Boozmannew,Sen. (R-Ark.),5
Mike Huckabee,8/6,Mike Roundsnew,Sen. (R-S.D.),5
Mike Huckabee,5/5,Asa Hutchinsonnew,Gov. (R-Ark.),10
Rand Paul,9/21/15,Mick Mulvaneynew,Rep. (R-S.C.),1
Rand Paul,7/15,Cynthia M. Lummisnew,Rep. (R-Wyo.),1
Rand Paul,5/4,Justin Amashnew,Rep. (R-Mich.),1
Rand Paul,4/10,Walter B. Jonesnew,Rep. (R-N.C.),1
Rand Paul,4/6,S. Brett Guthrienew,Rep. (R-Ky.),1
Rand Paul,4/6,Thomas Massienew,Rep. (R-Ky.),1
Rand Paul,4/6,Andy Barrnew,Rep. (R-Ky.),1
Rand Paul,4/5,Raul R. Labradornew,Rep. (R-Idaho),1
Rand Paul,4/1,Ed Whitfieldnew,Rep. (R-Ky.),1
Rand Paul,2/21,Curt Clawsonnew,Rep. (R-Fla.),1
Rand Paul,11/6/14,Mitch McConnellnew,Sen. (R-Ky.),5
Lindsey Graham,1/29/15,John McCainnew,Sen. (R-Ariz.),5
Carly Fiorina,10/8/15,Jeff Fortenberrynew,Rep. (R-Neb.),1
Carly Fiorina,9/23,Candice Millernew,Rep. (R-Mich.),1
Carly Fiorina,9/20,Lynn Jenkinsnew,Rep. (R-Kan.),1
Ben Carson,2/17/16,Andy Harrisnew,Rep. (R-Md.),1
Scott Walker,8/7/15,Doug Collinsnew,Rep. (R-Ga.),1
Scott Walker,4/22,Reid Ribblenew,Rep. (R-Wis.),1
Scott Walker,4/11,Sean P. Duffynew,Rep. (R-Wis.),1
Rick Perry,7/17/15,Joe Bartonnew,Rep. (R-Texas),1
Rick Santorum,6/2/15,Lou Barlettanew,Rep. (R-Pa.),1
